Sample,ichorCNA
K1AA51R2,0.02588
KZBD24,0.03085
K4AI12,0.01907
KAAF19,0.008797
KZAV93,0.03438
K0AAAI19,0.01612
K1046,0.02594
K4AD32,0.01728
K0AP74,0.02143
K0AAAA92,0.04224
K4AJ12,0.0166
K2AD37,0.01935
K0973,0.03959
K4AG24,0.01685
K1455,0.01944
K0AP80,0.024
K0465,0.02748
KABH80,0.02996
K2AD80,0.02512
KAAC62,0.02556
K0677,0.04045
K0446,0.01669
KHAC73,0.02129
K2071,0.02766
K1399,0.01452
LBGS110,0.02791
K0AAAC84,0.02674
K0CAAA80,0.02978
KZAB38,0.02666
K4AJ25,0.02095
K0064,0.03056
KABP41,0.03999
K0427,0.0344
LBMB113,0.026
K0794,0.02216
K4AA57,0.01923
K0805,0.02464
K2AE17,0.01763
KZBB25,0.03763
K0AJ31,0.02538
K4AI82,0.02255
LBMB131,0.02185
K0AT09,0.02307
K4AC16,0.02394
K4AC10,0.08094
K0AG42,0.03581
K1586,0.01735
KZAI98,0.02551
KAAG96,0.03653
K0AQ54,0.02415
K0779,0.02451
K4AD78,0.03571
K0AC37,0.04607
K0186,0.01819
K0776,0.03216
K0AQ64,0.03087
K4AA93,0.02222
K4AD41,0.015
K0516,0.01894
K2AD66,0.03212
K0435,0.02186
K0450,0.02157
KACE35,0.02685
KABK18,0.04353
KAAT91,0.02542
KZAP65,0.03005
K0BAAA40,0.0271
K4AF09,0.02673
KZAC21,0.02077
K4AE37,0.03122
KZAI48,0.03566
K0043,0.02802
K0947,0.01936
K0408,0.02463
K4AH88,0.02568
K0AAAB41,0.02535
KABX53,0.05423
K0AI90,0.02546
KZAW95,0.02699
K2AB44,0.02426
K0456,0.02769
K1052,0.0187
K0833,0.02845
K0009,0.02589
K0889,0.017
K0717,0.02479
K0CAAA16,0.0182
K0AR40,0.018
K0AI61,0.02561
K4AE67,0.02747
K0665,0.02732
KAAA64,0.02926
K0AAAK35,0.02341
LBGS087,0.0406
K0491,0.02451
K0AAAD61,0.03745
K0DAAA20,0.01745
K0393,0.02486
KACG04,0.02577
K0285,0.02643
K0702,0.0186
K0838,0.03009
K4AF03,0.01919
K0AAAB33,0.02591
K0599,0.02267
K0770,0.03006
KZAR34,0.03398
K3AF26,0.03291
K0AQ69,0.03591
K0033,0.02088
K4AB26,0.02966
KABZ63,0.03741
K0935,0.01193
K2AA15,0.05164
K0059,0.02981
K0AO34,0.03294
K0432,0.01719
K0569,0.03221
K0AQ91,0.02251
K1572,0.02064
KAAZ35,0.02016
K2288,0.01978
LBGS095,0.02522
K2194,0.02755
K0840,0.03734
K0AR78,0.02092
K3AE58,0.03889
K0434,0.0149
K0AR91,0.02784
K0430,0.01899
K0723R1,0.03032
K2540,0.02612
K4AA55,0.0212
K3AC98,0.03853
K1380,0.01797
K0AH16,0.02814
K0DAAA26,0.0525
KAAK49,0.02018
K0AR20,0.02067
K4AD21,0.03892
K0AAAH53R1,0.01638
K0006,0.02831
K0436,0.01878
K0482,0.02243
K4AC60,0.02845
K0AJ94,0.02188
K0GAAA73,0.02097
KABQ47,0.04983
K0AF72,0.02123
K0825,0.03828
K0704,0.02895
K0103,0.01415
K2304,0.02242
K0313,0.02201
K2474,0.04101
KAAW05,0.03305
K0933,0.02688
K0461,0.03523
KZAF33,0.01743
K0AAAG04,0.0156
K4AE20,0.02526
K0AAAD60,0.03685
K0406,0.02576
K0953,0.02548
K4AA26,0.02778
KABE11,0.1329
K2AA49,0.03267
K0AE35,0.03346
K1AD22,0.03022
K2031,0.02606
CRCC5,0.0179
K2052,0.02909
K0AR72,0.02651
K0AAAF38,0.01442
K0793,0.02526
KAAZ45,0.02516
K0AJ59,0.05713
KAAE40,0.02987
KHAB37,0.02279
K0AAAI18,0.03775
KAAR12,0.02829
K0771,0.03433
K4AA46,0.01823
KHAD05R1,0.02971
K0AAAG38,0.01671
KAAJ48,0.01707
K0384,0.03105
K0AAAB01,0.02683
KAAF77,0.03354
K0164,0.02081
LBMB054,0.03107
K1583,0.01323
KZAC84,0.01766
K1526,0.02938
KABY19R1,0.03024
K0698,0.0176
K0853,0.02613
KACC94R1,0.02282
K2001,0.03533
K0AC61,0.03585
KZAT70,0.03689
K2070,0.01923
KZAU93,0.0328
K0106,0.03495
KAAS01,0.02028
KAAH78,0.02177
K2139,0.03251
K2379,0.03645
KZAF65,0.02565
K0CAAA43,0.01785
K0AAAA04,0.02095
K2AB71,0.0207
LBGS087R2,0.03547
K4AD50,0.02473
K1016,0.03018
K0531,0.0222
KZBC37,0.02533
K0958R1,0.04455
K0AQ72,0.01699
K0660,0.0307
K0AL23,0.02269
KAAB22,0.02493
KAAC28,0.03086
K0872,0.07475
K3AB61,0.02171
K0AB58,0.0371
K0AAAE20,0.04084
K0AR30,0.0294
K1AB28,0.03689
KAAH46,0.03496
KZBA20,0.02169
K2AC24,0.02337
K4AI18,0.03182
K0756,0.02833
K4AG50,0.02176
K4AA54,0.02605
K4AI70,0.03001
K0115,0.02946
KAAC67,0.03201
K4AE23,0.01934
KABT41,0.02888
K0194R1,0.0495
K0272,0.02181
K4AC82,0.02516
K2AA61,0.02787
K2AD73,0.01704
KZAZ52,0.03522
K2AE40,0.02521
K0038,0.02849
K2AB41,0.02644
K1936,0.03257
KZAK72,0.0438
K0AAAE18,0.01863
K0925,0.0301
KABG33,0.0418
KZAB60,0.02402
K2523,0.01945
KABJ29R1,0.02003
KZAF86,0.02951
K0642,0.02031
K1456,0.04242
K4AF83,0.02565
K0197,0.02242
K0923,0.03195
K0672,0.02556
K0173,0.02767
K2AC63,0.02002
K1460,0.01504
KAAH50,0.03971
KACH85,0.02171
KABG17,0.0247
K0AG44,0.02439
KZAB23,0.02528
K0AAAG03,0.01175
K4AA96,0.0279
K2475,0.03492
K4AF63,0.03015
KAAV17,0.02464
K0522,0.02321
KZAN11,0.02535
K0438,0.01788
KABC54,0.03822
KAAG58,0.02081
K0881,0.02823
K4AD16,0.03346
K0DAAA44,0.02718
K3AD49,0.03917
K0259,0.02112
